🕘️更新时间,#genre#
2026-01-01 07:01:01,http://jiugong.wulinsy.cn:39901/tsfile/live/0001_1.m3u8?key=txiptv

☘️央视频道,#genre#
CCTV-8,http://114.254.37.254:18888/rtp/239.3.1.175:8001
CCTV-9,http://111.162.204.64:8686/rtp/225.1.1.119:5002
CCTV-9,http://117.12.149.204:4022/rtp/225.1.1.119:5002
CCTV-9,http://144.255.32.146:8288/udp/239.21.1.153:5002
CCTV-9,http://183.236.43.98:4013/udp/239.77.0.135:5146
CCTV-9,http://121.29.141.237:4022/rtp/239.253.92.107:6020
CCTV-9,http://113.119.25.53:58888/udp/239.77.0.135:5146
CCTV-9,http://180.105.201.135:9981/rtp/239.49.8.53:9814
CCTV-9,http://27.191.202.133:19999/rtp/239.254.200.59:8112
CCTV-9,http://114.107.44.80:8188/rtp/238.1.78.240:7792
CCTV-9,http://58.46.68.236:8188/udp/239.76.253.159:9000
CCTV-10,http://180.105.201.135:9981/rtp/239.49.8.134:6000
CCTV-10,http://121.29.141.237:4022/rtp/239.253.92.196:6061
CCTV-10,http://180.105.201.135:9981/rtp/239.49.8.54:9818
CCTV-10,http://113.119.25.53:58888/udp/239.77.0.134:5146
CCTV-10,http://27.191.202.133:19999/rtp/239.254.200.160:6000
CCTV-10,http://121.231.100.196:8095/rtp/239.49.8.134:6000
CCTV-10,http://111.113.88.146:2000/rtp/239.121.4.158:8932
CCTV-10,http://106.83.116.202:8188/rtp/235.254.198.59:1512
CCTV-10,http://36.46.98.251:8025/rtp/239.112.205.86:5140
CCTV-10,http://114.100.195.41:4022/rtp/238.1.78.241:7800
CCTV-11,http://114.241.251.105:4022/rtp/239.3.1.152:8120
CCTV-11,http://111.162.204.64:8686/rtp/225.1.2.192:5002
CCTV-11,http://121.29.141.237:4022/rtp/239.253.93.153:6321
CCTV-11,http://113.119.25.53:58888/udp/239.77.1.238:5146
CCTV-11,http://27.191.202.133:19999/rtp/239.254.201.123:8120
CCTV-11,http://111.113.88.146:2000/rtp/239.121.4.150:9202
CCTV-11,http://36.46.98.251:8025/rtp/239.112.205.213:5140
CCTV-11,http://58.46.68.236:8188/udp/239.76.252.251:9000
CCTV-11,http://58.46.68.236:8188/udp/239.76.245.251:1234
CCTV-11,http://106.83.116.202:8188/rtp/235.254.198.7:1304
CCTV-12,http://114.241.251.105:4022/rtp/239.3.1.64:8124
CCTV-12,http://180.105.201.135:9981/rtp/239.49.8.135:6000
CCTV-12,http://180.105.201.135:9981/rtp/239.49.8.55:9822
CCTV-12,http://121.29.141.237:4022/rtp/239.253.92.197:6062
CCTV-12,http://121.231.100.196:8095/rtp/239.49.8.135:6000
CCTV-12,http://113.119.25.53:58888/udp/239.77.0.136:5146
CCTV-12,http://144.255.32.146:8288/udp/239.21.1.156:5002
CCTV-12,http://106.83.116.202:8188/rtp/235.254.198.60:1516
CCTV-12,http://27.191.202.133:19999/rtp/239.254.200.161:6000
CCTV-12,http://121.231.100.196:8095/rtp/239.49.8.55:9822
CCTV-13,http://111.162.204.64:8686/rtp/225.1.2.193:5002
CCTV-13,http://114.241.251.105:4022/rtp/239.3.1.124:8128
CCTV-13,http://144.255.32.146:8288/udp/239.21.2.3:5002
CCTV-13,http://114.100.195.41:4022/rtp/238.1.79.35:4392
CCTV-13,http://121.29.141.237:4022/rtp/239.253.92.13:8008
CCTV-13,http://117.12.149.204:4022/rtp/225.1.2.193:5002
CCTV-13,http://27.191.202.133:19999/rtp/239.254.200.9:8264
CCTV-13,http://113.119.25.53:58888/udp/239.253.43.196:5146
CCTV-13,http://114.107.44.80:8188/rtp/238.1.79.35:4392
CCTV-13,http://223.198.242.180:4000/rtp/239.253.64.59:5140
CCTV-14,http://114.241.251.105:4022/rtp/239.3.1.65:8132
CCTV-14,http://111.162.204.64:8686/rtp/225.1.1.144:5002
CCTV-14,http://121.29.141.237:4022/rtp/239.253.92.198:6063
CCTV-14,http://117.12.149.204:4022/rtp/225.1.1.144:5002
CCTV-14,http://113.119.25.53:58888/udp/239.77.1.161:5146
CCTV-14,http://114.107.44.80:8188/rtp/238.1.78.243:7816
CCTV-14,http://180.105.201.135:9981/rtp/239.49.8.56:9826
CCTV-14,http://115.171.216.84:4000/rtp/225.1.8.14:8132
CCTV-14,http://180.105.201.135:9981/rtp/239.49.8.136:6000
CCTV-14,http://27.191.202.133:19999/rtp/239.254.200.162:6000
CCTV-15,http://114.241.251.105:4022/rtp/239.3.1.153:8136
CCTV-15,http://111.162.204.64:8686/rtp/225.1.2.194:5002
CCTV-15,http://183.236.43.98:4013/udp/239.77.1.239:5146
CCTV-15,http://113.119.25.53:58888/udp/239.77.1.239:5146
CCTV-15,http://27.191.202.133:19999/rtp/239.254.201.124:8136
CCTV-15,http://144.255.31.40:6688/udp/239.21.2.4:5002
CCTV-15,http://121.29.141.237:4022/rtp/239.253.93.154:6322
CCTV-15,http://117.12.149.204:4022/rtp/225.1.2.194:5002
CCTV-15,http://114.107.44.80:8188/rtp/238.1.78.222:7648
CCTV-15,http://223.198.242.180:4000/rtp/239.253.64.72:5140
CCTV-16,http://111.162.204.64:8686/rtp/225.1.2.237:5002
CCTV-16,http://114.241.251.105:4022/rtp/239.3.1.184:8001
CCTV-16,http://113.119.25.53:58888/udp/239.77.0.165:5146
